src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
223.182.180.92,192.168.31.118,55583,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:05:01,5238.056182861328,102137.1251706873,381.82102867546655,190.91051433773328,190.91051433773328,1,1,157,378,157.0,157.0,157.0,0.0,378.0,378.0,378.0,0.0,378,157,267.5,110.5,12210.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,267.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,378.0,0,1,1,157,378
84.51.196.82,192.168.31.118,49001,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:05:01,481.8439483642578,1759905.884215735,4150.721425037111,2075.3607125185554,2075.3607125185554,1,1,174,674,174.0,174.0,174.0,0.0,674.0,674.0,674.0,0.0,674,174,424.0,250.0,62500.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,424.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,674.0,0,1,1,174,674
85.26.232.160,192.168.31.118,63503,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:05:02,4755.973815917969,60765.68357730098,420.5237617806296,210.2618808903148,210.2618808903148,1,1,160,129,160.0,160.0,160.0,0.0,129.0,129.0,129.0,0.0,160,129,144.5,15.5,240.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,144.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,129.0,0,1,1,160,129
5.189.187.90,192.168.31.118,51428,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:05:03,6392.955780029297,77116.12858954277,312.8443350488551,156.42216752442755,156.42216752442755,1,1,139,354,139.0,139.0,139.0,0.0,354.0,354.0,354.0,0.0,354,139,246.5,107.5,11556.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,246.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,354.0,0,1,1,139,354
188.233.68.70,192.168.31.118,49001,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:05:04,15194.177627563477,55810.85207676254,131.62936810557204,65.81468405278602,65.81468405278602,1,1,174,674,174.0,174.0,174.0,0.0,674.0,674.0,674.0,0.0,674,174,424.0,250.0,62500.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,424.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,674.0,0,1,1,174,674
193.203.14.173,192.168.31.118,9458,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:05:04,49884.08088684082,9702.494090207381,40.09295078598091,20.046475392990455,20.046475392990455,1,1,140,344,140.0,140.0,140.0,0.0,344.0,344.0,344.0,0.0,344,140,242.0,102.0,10404.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,242.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,344.0,0,1,1,140,344
95.25.55.202,192.168.31.118,63223,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:05:05,52039.86167907715,9569.587311186553,38.43207755496607,19.216038777483035,19.216038777483035,1,1,146,352,146.0,146.0,146.0,0.0,352.0,352.0,352.0,0.0,352,146,249.0,103.0,10609.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,249.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,352.0,0,1,1,146,352
203.145.94.139,192.168.31.118,61775,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:05:05,1029.0145874023438,494647.99258572754,1943.6070435588508,971.8035217794254,971.8035217794254,1,1,157,352,157.0,157.0,157.0,0.0,352.0,352.0,352.0,0.0,352,157,254.5,97.5,9506.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,254.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,352.0,0,1,1,157,352
95.26.140.37,192.168.31.118,11310,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:05:05,9098.76823425293,56381.25807719519,219.80997301050755,109.90498650525377,109.90498650525377,1,1,159,354,159.0,159.0,159.0,0.0,354.0,354.0,354.0,0.0,354,159,256.5,97.5,9506.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,256.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,354.0,0,1,1,159,354
142.127.146.223,192.168.31.118,10672,28845,9c:9d:7e:8c:15:c3,cc:b0:da:67:8a:37,17,2024-02-20 22:05:05,5203.008651733398,93215.29762177519,384.39297988360903,192.19648994180451,192.19648994180451,1,1,140,345,140.0,140.0,140.0,0.0,345.0,345.0,345.0,0.0,345,140,242.5,102.5,10506.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,242.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,345.0,0,1,1,140,345
